ID,Text,Star
125689,Google has tracked my every move on line and offline sending me ads for text I have sent to friends like I need a oil change bro then boom when I get online I got advertisements trying to sell me oil changes. I have told friend in chat about a certain boot I wanna get boom the brand and the exact model is on my page. They have censored my search history to what I wanna look for they shift me going another way scary site stay away no good,1
125694,"Won't update, cannot get the update to work. Tried on wifi and mobile data nothing worked. Used to be an awesome browser but if I can't update it then security falls below standard and my information is at risk. Fix this asap.",1
125698,Good,1
125722,Good App,1
125758,It won't freaking load,1
125765,Good,1
125766,Absolute rubbish. It will consume every last available bit of memmory resources on your phone untill it crawls everything down to a standstill and crash. Google seems to think that all devices these days have 32gb ram and 16 core processors dedicated to run google apps,1
128185,Unable to update my Google Chrome browser. Please fix this,1
128203,I can update my chrome app please resolve this problem.,1
128218,"Its not possible for me to update my google Crome, since i have purchased my phone.can you please find a solution for this issue.",1
139121,I want to update this but not happening,1
139163,good,1
148179,It won't update no matter how much I try to make it. Even on other devices.,1
148185,"It will not update on my android cell. It's forever trying, but never completes. Should I delete it first from my cell? I don't want to mess up some other App,",1
148236,Not letting me update did everything fix please !!! Zero stars,1
156270,Plezz support Android 4.4.4,1
156275,"The app can't be updated, I've been trying to update it for months now, but it won't update... That's bad.",1
156296,I can't update this app Plz help,1
156323,Can't wait for government to take you down lol,1
156338,"I dont know what's happening right now but google isn't working at all for me, cant look anything up, the app closes and says that it's not working, so I thought maybe its because I havent updated it in like a million years, so I click the update button and it dosent work, I dont know what ti do right now?",1
158433,Google is better,1
158478,Last some moth has been not upadate working apps. So pls help ful solv this problem I'm my phone,1
163948,"Straight up won't update. Even has a notification in-app telling me to update, but it refuses to do it. Pixel 3a XL",1
163957,I'm being stalked. HELP,1
163961,From last 4 month i will be try to update this app but its not be done.... Shame on you,1
163983,I am unable to update my app Kindly help me in this regard,1
164000,Nice,1
164006,Not able to update this using goole play do something,1
164011,"so happy to say im finally getting rid of google chrome. it was difficult for a long time due to a lack of alternatives but the developers made it very easy to uninstall by making the browser more and more garbage and unusable, much appreciated, thank you <3!",1
164038,Better,1
170292,Cool,1
170302,"App won't update at all, tried restarting the phone numerous times as well as clearing all app data and it still won't update, browser is currently slow and cannot access some sites.",1
170306,I cant update my chrome from 19th jan 2020. Please help me out,1
170320,Good,1
170327,Wonderful,1
170370,Not updating Worst app,1
177070,Past 4 days Google chrome is not working at all I don't know why it is happening please solve the issue,1
177104,Good,1
177109,Super,1
177133,I can't update my Chrome since 6 months whenever play store shows me the updates of other applications the update of Chrome also shows but it doesn't update,1
177136,Wonderful,1
181853,Good,1
181857,Google you need to fix chrome it's giving me 90s vibes the way it's so slow and it keeps crashing I have to uninstall then reinstall to fix it. What's up?!,1
181862,Nice app i like this app,1
181867,Unable to update the app via play store.,1
193176,The app refuses to update. When I try to force update it cancels the update. If I need to start using another browser I will but hopefully this gets fixed soon.,1
193188,It has a virus on it and now it has the virus on my phone. Hopefully this will be fixed fast.,1
193218,Not bad,1
198447,"Please bring back the scrollable tabs because it was an easy and quick way to choose a tab no matter if there were 5 or 50. Also, please make life unbearable for all the idiots who decided to change it. Thank you",1
198469,Nice,1
208968,Not getting updating on android phone via play store.,1
208973,Google steals data and now is starting to become the enemy of the County by manipulate data to benefit China and other countries that align against the US. Brave and other secure browsers are better.,1
209000,"Why i can't update this app?? please someone,answer me...",1
209002,"The app always request me to update it...but when I try to update it doesn't update as normal as other applications,please try to solve this issue.",1
209014,A hacking parathola of goodness. I don't even know much about computers... something is not quite right. I'm not crazy for imagining it. What's crazy is the ones not fixing it. I don't believe I'm imagining it. I can know nothing about computers and imagine a problem you guys probably already know about. LATE.,1
209016,Very Heavyweight and battery draining app taking 3.2 GB space. Also this app cannot be moved to the SD card so that some space could have been saved from the phone memory.,1
209029,"No privacy. Use Brave, Firefox or DuckDuckGo instead.",1
210944,I can not update Google Chrome please help me to solve this issue,1
210974,"Dear developer ..... I can't update Google chrome.....so, I think you must be solve this issue as soon as possible...",1
210990,app keeps crashing and i cant update it. going to look for a better browser,1
210997,"Aibo im robbed, who ever is making updates is robing me. I've been trying to update the app but guess what... The 1st time it stoped at 98% downloading and started again, then when it reached 100% it continued to download . aibo my data you people ahh man no. I love this app dont make me switch.",1
211014,Not able to update. Please check and advice on it. Even still the same pleoblem is going on.,1
229662,New update forces tab groups. Even after disabling them they turn back on. I'm perfectly capable or making my own damn tab decisions I don't need y'all doing it for me.,1
229664,I'm not be able to update my crome browser when there is already showing for update. Every times I want to update it's just crashed,1
229671,Not updating stuck at 99%.,1
229673,Good,1
229707,Not updating.... Worst day by day,1
229710,Excellent,1
229721,I don't like the new tabs I liked the way it was before. Google is always fixing things that aren't broken just learn too leave well enough alone.,1
229743,Awesome,1
229758,Not responsible worst working now itself from 19,1
236564,Not updated my app google help me,1
236591,"Still can't update, really sucks for now",1
236593,its so fuccing helpful,1
236613,Good,1
236617,Good luck with,1
